trade_id,entry_time,entry_price,exit_time,exit_price,side,leg,floating_max_usd,floating_min_usd,realised_pnl_usd,exit_reason
58,2026-05-06 15:00:00,4673.39,2026-05-06 15:00:00,4685.33,LONG,A,5.88,-0.77,3.58,TP(leg A)
59,2026-05-06 15:00:00,4673.39,2026-05-06 15:00:00,4688.912,LONG,B,5.88,-0.77,4.66,TP(fixed)
60,2026-05-11 16:30:00,4743.23,2026-05-11 16:30:00,4731.912,SHORT,A,4.62,-0.56,3.4,TP(leg A)
61,2026-05-11 16:30:00,4743.23,2026-05-11 16:30:00,4728.517,SHORT,B,4.62,-0.56,4.41,TP(fixed)
62,2026-05-11 16:45:00,4735.56,2026-05-11 17:00:00,4724.046,SHORT,A,5.27,-3.78,3.45,TP(leg A)
63,2026-05-11 16:45:00,4735.56,2026-05-11 17:00:00,4720.592,SHORT,B,5.27,-3.78,4.49,TP(fixed)
64,2026-05-21 20:45:00,4551.32,2026-05-21 21:45:00,4540.294,SHORT,A,7.21,-2.39,3.31,TP(leg A)
65,2026-05-21 20:45:00,4551.32,2026-05-21 21:45:00,4536.986,SHORT,B,7.21,-2.39,4.3,TP(fixed)
66,2026-05-25 15:00:00,4556.96,2026-05-25 15:00:00,4563.195,LONG,A,3.89,-0.22,1.87,TP(leg A)
67,2026-05-25 15:00:00,4556.96,2026-05-25 15:00:00,4565.066,LONG,B,3.89,-0.22,2.43,TP(fixed)
68,2026-06-02 15:45:00,4514.81,2026-06-02 15:45:00,4521.962,LONG,A,3.35,-0.43,2.15,TP(leg A)
69,2026-06-02 15:45:00,4514.81,2026-06-02 15:45:00,4524.108,LONG,B,3.35,-0.43,2.79,TP(fixed)
70,2026-06-02 17:15:00,4495.69,2026-06-02 17:15:00,4504.043,LONG,A,2.79,-1.66,2.51,TP(leg A)
71,2026-06-02 17:15:00,4495.69,2026-06-02 18:00:00,4506.549,LONG,B,3.72,-1.66,3.26,TP(fixed)
72,2026-06-04 14:45:00,4511.71,2026-06-04 14:45:00,4502.248,SHORT,A,6.21,-0.96,2.84,TP(leg A)
73,2026-06-04 14:45:00,4511.71,2026-06-04 14:45:00,4499.409,SHORT,B,6.21,-0.96,3.69,TP(fixed)
74,2026-06-11 19:00:00,4102.54,2026-06-11 19:00:00,4088.22,SHORT,A,4.71,-0.2,4.3,TP(leg A)
