timeframe,strategy_name,exit_model,filter_preset,experiment_name,segment,split_time,row_count,base_candidate_count,accepted_candidate_count,candidate_acceptance_rate,trade_count,net_profit,profit_per_trade,profit_factor,win_rate,sharpe,sortino,max_drawdown,ending_balance,dominant_hour_trade_share,top_three_hours_trade_share,dominant_hour_pnl_share
M5,trend_pullback,fixed_tp_plus_mr,loose,adx_only,IS,2025-07-23 07:55:00,287744,34078,25902,0.7600798168906626,48,32982.90167557537,687.1437849078202,41.45565432528272,0.3125,0.9949770402235673,356.5703813143503,33.73988829497557,34482.90167557537,0.14583333333333334,0.3958333333333333,0.9987472601501051
M5,trend_pullback,fixed_tp_plus_mr,loose,volume_atr,IS,2025-07-23 07:55:00,287744,34078,19221,0.5640295792006573,104,32961.787978310495,316.9402690222163,35.5630563972412,0.2692307692307692,0.9894628759054006,338.89229586983924,37.20050154632961,34461.787978310495,0.16346153846153846,0.4230769230769231,0.9999549543927136
M5,trend_pullback,fixed_tp_plus_mr,loose,adaptive_quality,IS,2025-07-23 07:55:00,287744,34078,14908,0.4374669874992664,103,32968.517105315266,320.08269034286667,35.81577338546057,0.27184466019417475,0.9897120441126571,339.19755011809764,36.77493163998509,34468.517105315266,0.1650485436893204,0.42718446601941745,0.9999549543927136
M5,trend_pullback,fixed_tp_plus_mr,loose,session_plus_adaptive,IS,2025-07-23 07:55:00,287744,34078,11567,0.3394271964317155,76,32964.78495382378,433.74717044504973,38.02024535260999,0.2631578947368421,0.991272891440115,327.96500966315267,36.64123453509865,34464.78495382378,0.19736842105263158,0.5263157894736842,0.9995784490780691
M5,trend_pullback,fixed_tp_plus_mr,loose,baseline_all_day,OOS,2025-07-23 07:55:00,71937,9266,9266,1.0,4383,31077.866290325088,7.090546723779395,1.3615756611874945,0.5026237736710016,2.209466567368245,21.1559956418433,58.01522333101027,32577.866290325088,0.055213324207164044,0.16290212183436004,0.42384731285236
M5,trend_pullback,fixed_tp_plus_mr,loose,session_only,OOS,2025-07-23 07:55:00,71937,9266,5251,0.5666954457155191,2471,25203.873301810334,10.19986778705396,1.5298647737918547,0.5143666531768515,1.9142815088038316,26.729790972812285,35.5146470254221,26703.873301810334,0.09631728045325778,0.2715499797652772,0.547184282646791
M5,trend_pullback,fixed_tp_plus_mr,loose,volume_only,OOS,2025-07-23 07:55:00,71937,9266,5892,0.6358730843945608,2933,24186.814294783224,8.246441968899838,1.3851840058760494,0.49539720422775313,1.7299044874374294,18.333062012603875,48.854387686284326,25686.814294783224,0.0733037845209683,0.20422775315376748,0.5198851561854246
M5,trend_pullback,fixed_tp_plus_mr,loose,atr_only,OOS,2025-07-23 07:55:00,71937,9266,8088,0.8728685516943665,3854,31482.54732457106,8.1687979565571,1.3998479688314363,0.5090814737934614,2.2408097494546793,22.239072057350263,38.598678027006066,32982.54732457106,0.06123508043591074,0.17929423975090814,0.4172037989075696
M5,trend_pullback,fixed_tp_plus_mr,loose,adx_only,OOS,2025-07-23 07:55:00,71937,9266,6819,0.7359162529678395,3287,29107.759665538142,8.855418212819636,1.4586095097169236,0.5074536051110435,2.0836990189884337,24.125006945793807,61.11296082962502,30607.759665538142,0.05658655308792212,0.16610891390325525,0.4477739856600322
M5,trend_pullback,fixed_tp_plus_mr,loose,volume_atr,OOS,2025-07-23 07:55:00,71937,9266,5619,0.60641053313188,2813,24316.40356218414,8.644295614000761,1.4002242548123696,0.4955563455385709,1.7401151762006284,18.873869625482165,42.914150819992805,25816.40356218414,0.07571987202275152,0.20938499822253823,0.5093080131230648
