entry_hour,trades,net_pnl_cents,mean_pnl_cents,win_rate,timeframe,filter_preset,segment,experiment_name
18,3,7.343016813674694,2.447672271224898,0.3333333333333333,M15,loose,IS,session_plus_adaptive
19,2,-24.466221852912895,-12.233110926456447,0.0,M15,loose,IS,session_plus_adaptive
20,3,-158.70735252435225,-52.90245084145075,0.0,M15,loose,IS,session_plus_adaptive
16,4,-403.19686515469584,-100.79921628867396,0.0,M15,loose,OOS,baseline_all_day
22,2,-180.4062525962945,-90.20312629814725,0.0,M15,loose,OOS,baseline_all_day
16,4,-403.19686515469584,-100.79921628867396,0.0,M15,loose,OOS,session_only
17,2,-232.6509746711963,-116.32548733559815,0.0,M15,loose,OOS,session_only
16,4,-403.19686515469584,-100.79921628867396,0.0,M15,loose,OOS,volume_only
22,2,-180.4062525962945,-90.20312629814725,0.0,M15,loose,OOS,volume_only
16,4,-403.19686515469584,-100.79921628867396,0.0,M15,loose,OOS,atr_only
22,2,-180.4062525962945,-90.20312629814725,0.0,M15,loose,OOS,atr_only
16,2,-223.14769843524118,-111.57384921762059,0.0,M15,loose,OOS,adx_only
17,2,-232.6509746711963,-116.32548733559815,0.0,M15,loose,OOS,adx_only
22,2,-180.4062525962945,-90.20312629814725,0.0,M15,loose,OOS,adx_only
16,4,-403.19686515469584,-100.79921628867396,0.0,M15,loose,OOS,volume_atr
22,2,-180.4062525962945,-90.20312629814725,0.0,M15,loose,OOS,volume_atr
16,2,-223.14769843524118,-111.57384921762059,0.0,M15,loose,OOS,adaptive_quality
17,2,-232.6509746711963,-116.32548733559815,0.0,M15,loose,OOS,adaptive_quality
22,2,-180.4062525962945,-90.20312629814725,0.0,M15,loose,OOS,adaptive_quality
7,17,12944.176447903455,761.4221439943209,0.29411764705882354,M15,loose,OOS,session_plus_adaptive
8,18,-107.01315270884152,-5.945175150491195,0.3333333333333333,M15,loose,OOS,session_plus_adaptive
9,24,157.27916390436803,6.553298496015334,0.4583333333333333,M15,loose,OOS,session_plus_adaptive
10,27,-144.10843384958753,-5.337349401836575,0.4074074074074074,M15,loose,OOS,session_plus_adaptive
11,27,-488.81316237432657,-18.104191199049133,0.18518518518518517,M15,loose,OOS,session_plus_adaptive
12,21,509.75687456821106,24.274136884200527,0.5714285714285714,M15,loose,OOS,session_plus_adaptive
13,18,158.81175076735417,8.822875042630788,0.4444444444444444,M15,loose,OOS,session_plus_adaptive
14,18,502.63218607427007,27.92401033745945,0.5,M15,loose,OOS,session_plus_adaptive
15,21,229.10541322975405,10.90978158236924,0.5714285714285714,M15,loose,OOS,session_plus_adaptive
16,17,-322.54187720092887,-18.97305160005464,0.29411764705882354,M15,loose,OOS,session_plus_adaptive
17,22,-623.5823447155599,-28.34465203252545,0.18181818181818182,M15,loose,OOS,session_plus_adaptive
18,16,-278.4099345589402,-17.400620909933764,0.3125,M15,loose,OOS,session_plus_adaptive
19,9,-90.77933957014466,-10.08659328557163,0.3333333333333333,M15,loose,OOS,session_plus_adaptive
20,18,281.2654085048689,15.625856028048272,0.5,M15,loose,OOS,session_plus_adaptive
1,3,-48.78400357225928,-16.261334524086426,0.0,M15,moderate,IS,baseline_all_day
2,6,-91.69319235904368,-15.28219872650728,0.16666666666666666,M15,moderate,IS,baseline_all_day
3,8,-143.42710549116873,-17.92838818639609,0.25,M15,moderate,IS,baseline_all_day
4,7,-149.78371594445434,-21.39767370635062,0.14285714285714285,M15,moderate,IS,baseline_all_day
5,12,-99.80038788605725,-8.31669899050477,0.3333333333333333,M15,moderate,IS,baseline_all_day
6,6,81.20058680448892,13.533431134081487,1.0,M15,moderate,IS,baseline_all_day
7,2,-0.7636462529762866,-0.3818231264881433,0.5,M15,moderate,IS,baseline_all_day
8,5,0.854557492443746,0.1709114984887492,0.4,M15,moderate,IS,baseline_all_day
9,2,-55.930622856421905,-27.965311428210953,0.0,M15,moderate,IS,baseline_all_day
10,2,-67.19169038467953,-33.595845192339766,0.0,M15,moderate,IS,baseline_all_day
11,1,13.570794957372527,13.570794957372527,1.0,M15,moderate,IS,baseline_all_day
12,4,37.91050617054225,9.477626542635562,0.75,M15,moderate,IS,baseline_all_day
13,8,62.64969715188727,7.831212143985908,0.625,M15,moderate,IS,baseline_all_day
14,4,0.3530387925593459,0.08825969813983647,0.5,M15,moderate,IS,baseline_all_day
16,2,-81.09655191694401,-40.548275958472004,0.0,M15,moderate,IS,baseline_all_day
17,5,13.969405586499306,2.793881117299861,0.6,M15,moderate,IS,baseline_all_day
18,3,-64.42924658326774,-21.476415527755915,0.3333333333333333,M15,moderate,IS,baseline_all_day
19,2,39.13311072217766,19.56655536108883,0.5,M15,moderate,IS,baseline_all_day
20,3,18.578250435839436,6.192750145279812,0.6666666666666666,M15,moderate,IS,baseline_all_day
21,3,46.17796386009559,15.392654620031863,0.6666666666666666,M15,moderate,IS,baseline_all_day
23,2,-44.187043197071034,-22.093521598535517,0.0,M15,moderate,IS,baseline_all_day
7,7,-101.3623251868512,-14.48033216955017,0.14285714285714285,M15,moderate,IS,session_only
8,11,5.761239855619351,0.5237490777835774,0.36363636363636365,M15,moderate,IS,session_only
9,6,-187.99850952553243,-31.333084920922072,0.0,M15,moderate,IS,session_only
10,6,-98.00439705156805,-16.33406617526134,0.16666666666666666,M15,moderate,IS,session_only
11,7,-22.662254075903547,-3.2374648679862212,0.42857142857142855,M15,moderate,IS,session_only
12,5,28.264082032605984,5.652816406521197,0.6,M15,moderate,IS,session_only
13,10,42.91084775480613,4.291084775480613,0.5,M15,moderate,IS,session_only
14,13,-33.30406677276642,-2.5618512902128012,0.38461538461538464,M15,moderate,IS,session_only
15,4,-114.35000082893566,-28.587500207233916,0.0,M15,moderate,IS,session_only
16,4,-55.96666226623711,-13.991665566559277,0.25,M15,moderate,IS,session_only
17,5,13.969405586499306,2.793881117299861,0.6,M15,moderate,IS,session_only
18,3,-64.42924658326774,-21.476415527755915,0.3333333333333333,M15,moderate,IS,session_only
19,2,39.13311072217766,19.56655536108883,0.5,M15,moderate,IS,session_only
