timeframe,candidate_count,candidate_count_score,positive_label_ratio_proxy,temporal_diversity,regime_diversity,class_balance_proxy,oos_balance_proxy,ml_readiness_score,strategy_name,exit_model,parameter_set_id
M15,3785,1.0,0.6499339498018494,1.0,0.0,0.9706737120211362,0.22730220492866407,0.6596831775028399,trend_pullback,fixed_tp,fe0094a35b64
M15,8141,1.0,0.5797813536420587,1.0,0.0,0.9694140768947304,0.23255109765329296,0.6462510469106152,trend_pullback,fixed_tp,b655ea948ef6
M15,2247,1.0,0.715175789942145,1.0,0.0,0.9586114819759679,0.25811870100783874,0.675544685436,trend_pullback,fixed_tp,78070afa42d4
M15,5387,1.0,0.634490439948023,1.0,0.0,0.9723408204937813,0.2344179651695692,0.6579119058391072,trend_pullback,fixed_tp,31ef89557c4d
M15,1138,1.0,0.6933216168717048,0.9833333333333333,0.0,0.9543057996485063,0.2616407982261641,0.6685563130555414,trend_pullback,fixed_tp,ce91fc540ecb
M15,1825,1.0,0.6898630136986301,1.0,0.0,0.9534246575342467,0.2551581843191197,0.6692600290177311,trend_pullback,fixed_tp,3d3f5b67bd97
M15,7887,1.0,0.5785469760365158,1.0,0.0,0.9712184607582097,0.23272897780556423,0.6463015109918693,trend_pullback,fixed_tp,ed97b52153b8
M15,1976,1.0,0.7049595141700404,1.0,0.0,0.9595141700404859,0.2522179974651457,0.6727517279598528,trend_pullback,fixed_tp,668e0d9e2a8e
M15,5387,1.0,0.6625208836086875,1.0,0.0,0.9723408204937813,0.2344179651695692,0.6635179945712402,trend_pullback,fixed_tp,c0319524a9ba
M15,5194,1.0,0.6651906045437043,1.0,0.0,0.9715055833654216,0.23490252020922492,0.6639993364449379,trend_pullback,fixed_tp,8272b891d976
M15,1138,1.0,0.7126537785588752,0.9833333333333333,0.0,0.9543057996485063,0.2616407982261641,0.6724227453929756,trend_pullback,fixed_tp,ec0465750319
M15,1278,1.0,0.6830985915492958,0.9833333333333333,0.0,0.9624413145539905,0.2517140058765916,0.6662430163744464,trend_pullback,fixed_tp,2ca796460b1a
M15,3012,1.0,0.6118857901726428,1.0,0.0,0.9442231075697212,0.20239520958083831,0.6443699056071125,trend_pullback,fixed_tp,73b9859b99e6
M15,5194,1.0,0.6330381209087409,1.0,0.0,0.9715055833654216,0.23490252020922492,0.6575688397179452,trend_pullback,fixed_tp,06616b301a3e
M15,4730,1.0,0.6325581395348837,1.0,0.0,0.970401691331924,0.23530948028205798,0.6573683036490741,trend_pullback,fixed_tp,b31aa461a318
M15,2449,1.0,0.7092690894242548,1.0,0.0,0.9563086974275214,0.2571868583162218,0.6738781512464125,trend_pullback,fixed_tp,605af1dc7aff
M15,8141,1.0,0.5888711460508537,1.0,0.0,0.9694140768947304,0.23255109765329296,0.6480690053923742,trend_pullback,fixed_tp,eb552114d2cf
M15,5387,1.0,0.478373863003527,1.0,0.0,0.9723408204937813,0.2344179651695692,0.626688590450208,trend_pullback,fixed_tp,b5ba8bff754f
