Candidate ID,Timestamp,Strategy,Session Decision,TBM Decision,HMM State,HMM Decision,XGBoost Probability,Threshold,Risk Decision,Final Rejection Stage,Rejection Reason
c6a5ffeaed4a863b,2026-07-14T09:20:41.006773+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
288661c83ae01094,2026-07-14T09:20:41.006773+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
aff1a92e0d569244,2026-07-14T09:20:41.006773+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
7fc913fc85838d0a,2026-07-14T09:20:41.006773+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
dc7b5eaa3fac088e,2026-07-14T09:20:41.006773+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
741f1c9b711f8154,2026-07-14T09:20:41.006773+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
af994f85386ce4be,2026-07-14T09:20:41.006773+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
bfe3c83943f493d1,2026-07-14T09:20:41.006773+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
3e615908805d2678,2026-07-14T09:20:41.007783+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
b410f495f54b19fe,2026-07-14T09:20:41.007783+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
b1110c1ab4db061b,2026-07-14T09:20:41.007783+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
3e927ffbaf2a2dc1,2026-07-14T09:20:41.007783+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
5ca48a0f845ea265,2026-07-14T09:20:41.007783+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
591bc4b5abbe0045,2026-07-14T09:20:41.007783+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
2ac5662c2894d766,2026-07-14T09:20:41.007783+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
d21ee7b9a8fbf2ff,2026-07-14T09:20:41.007783+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
4245fa7fc1e73dc3,2026-07-14T09:20:41.007783+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
d4aefca5c79854e5,2026-07-14T09:20:41.008780+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
da89439528b5c97e,2026-07-14T09:20:41.008780+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
532f5b162fe8f760,2026-07-14T09:20:41.008780+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
e0c34e5157b4331f,2026-07-14T09:20:41.008780+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
305dd181c0060568,2026-07-14T09:20:41.008780+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
1fe3219f8f4076bc,2026-07-14T09:20:41.008780+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
5a1645987a007609,2026-07-14T09:20:41.008780+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
542dfb2e7332e80c,2026-07-14T09:20:41.008780+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
2530ca4b0423f92f,2026-07-14T09:20:41.008780+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
6b31e0a6a3995f65,2026-07-14T09:20:41.008780+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
7a0dffaf772d4f79,2026-07-14T09:20:41.008780+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
7f55d259071dcad1,2026-07-14T09:20:41.008780+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
7c8083fe762c98da,2026-07-14T09:20:41.009777+00:00,unknown,REJECT,REJECT,,REJECT,,,REJECT,FeatureEngineering,Filtered at FeatureEngineering (from profiler)
